년월,시도명,읍면동명,업종명,이용자수,이용금액,총 유동인구,데이터기준일자
2019-01,서귀포시,남원읍,건강보조식품 소매업,8,472000,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,골프장 운영업,3667,608346185,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,과실 및 채소 소매업,1525,135385807,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,관광 민예품 및 선물용품 소매업,241,4915500,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,그외 기타 종합 소매업,15,11905000,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,기타 외국식 음식점업,75,1688000,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,기타 주점업,133,22105000,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,기타음식료품위주종합소매업,8453,354262128,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,비알콜 음료점업,838,8731800,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,빵 및 과자류 소매업,1000,13493400,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,서양식 음식점업,3780,79169910,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,수산물 소매업,307,131716000,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,슈퍼마켓,3428,104472110,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,스포츠 및 레크레이션 용품 임대업,145,5462900,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,여관업,340,25792500,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,욕탕업,57,537500,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,육류 소매업,697,55296230,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,일반유흥 주점업,144,32585000,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,일식 음식점업,889,73904500,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,전시 및 행사 대행업,3055,74375500,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,중식 음식점업,661,18478300,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,차량용 가스 충전업,374,42830980,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,차량용 주유소 운영업,7126,418648512,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,체인화 편의점,10979,123814310,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,"피자, 햄버거, 샌드위치 및 유사 음식점업",562,14703600,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,한식 음식점업,10703,508977987,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,화장품 및 방향제 소매업,171,8770270,16257181.37,2020-12-15
2019-01,서귀포시,남원읍,휴양콘도 운영업,2975,211178881,16257181.37,2020-12-15
2019-01,서귀포시,대륜동,건강보조식품 소매업,120,46844470,16805518.82,2020-12-15
2019-01,서귀포시,대륜동,과실 및 채소 소매업,654,104600888,16805518.82,2020-12-15
2019-01,서귀포시,대륜동,그외 기타 종합 소매업,87,126570000,16805518.82,2020-12-15
2019-01,서귀포시,대륜동,기타 대형 종합 소매업,22851,1475788570,16805518.82,2020-12-15
2019-01,서귀포시,대륜동,기타 외국식 음식점업,1153,49628400,16805518.82,2020-12-15
